j_number,show,short_title,name,type,carats,shape,diamond_type,karat,gold_color,Size,was_usd,price_usd,Price ILS,NOtes,site_link,images,,
J020,TRUE,Navis,0.3ct Pear Cut Natual Diamond Ring in 14K White Gold,Ring,0.3,Pear,Natural Diamond,14K,White,7 (54),843,650,2550,,https://dianarafael.com/products/navis-0-3ct-pear-gemstone-ring,https://dianarafael.com/cdn/shop/files/J020-2.png?v=1784188411&width=600,https://dianarafael.com/cdn/shop/products/7143effe-019f-5e3f-b542-105769ed2f59.jpg?v=1682328795&width=600,https://dianarafael.com/cdn/shop/products/eed7ca41-3d93-534d-bea0-172899d6540d.jpg?v=1682328795&width=600
J1020,TRUE,Refraction Angle,14K White Gold Stud Earrings,Earrings,1.05,Round,Lab Grown Diamonds,14K,White,5 mm,606,380,1500,,,https://dianarafael.com/cdn/shop/files/E020_W_2.jpg?v=1613682912&width=600,,
J1122,TRUE,Portal,Compass Natural Black Diamond Cushion Engagement Ring,Ring,5.78,Cushion,Natural Diamond,14K,Rose,5.5 (51),2588,1400,5450,,https://dianarafael.com/products/portal-compass-natural-black-diamond-cushion-engagement-ring-in-rose-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/7cf346b0-9ae1-5370-ab9f-0bc6fd58856b.jpg?v=1733981194|https://cdn.shopify.com/s/files/1/2469/5441/files/64bad7f4-0393-56e6-9d21-42cba3bb0fb5.jpg?v=1733981194|https://cdn.shopify.com/s/files/1/2469/5441/files/33e856f9-7376-5fb8-9389-0cdaebe95d62.jpg?v=1733981194,https://dianarafael.com/cdn/shop/files/DmitriyGreen-2029.jpg?v=1714022771&width=600,
J1135,TRUE,Accretion Disc,Bezel Natural Black Diamond Emerald Earrings,Earrings,0.6,Emerald,Natural Diamond,14K,Yellow,,729,300,1150,Single Earring,https://dianarafael.com/products/accretion-disc-bezel-natural-black-diamond-emerald-engagement-ring-in-yellow-rose-white-gold,https://dianarafael.com/cdn/shop/files/80ad9307-bb69-508c-bad9-ecb6c205da27.jpg?v=1732120617&width=300,https://dianarafael.com/cdn/shop/files/P088_2.jpg?v=1718692499&width=600,
J1139,TRUE,Mystery Soirée,Geometric Natural Black Diamond Oval Engagement Ring,Ring,1.62,Oval,Natural Diamond,14K,Rose,6.75 (53),1723,750,2900,,https://dianarafael.com/products/mystery-soiree-geometric-natural-black-diamond-oval-engagement-ring-in-rose-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/476a0402-4997-5c54-beef-b3258e99a017.jpg?v=1732535359|https://cdn.shopify.com/s/files/1/2469/5441/files/5d9572d2-3624-5b03-aed6-727c05cbc384.jpg?v=1732535361|https://cdn.shopify.com/s/files/1/2469/5441/files/bc7edc1c-2311-53b3-8311-ede007e938a2.jpg?v=1732535363,,
J1144,TRUE,Astralis,Faceted Matt Solid 14K Yellow Gold Single Earring,Earrings,,,,14K,Yellow,,806,450,1750,Single Earring,https://dianarafael.com/products/astralis-faceted-matt-solid-14k-yellow-gold-single-earring,https://dianarafael.com/cdn/shop/files/43721822-06f4-53e4-b3f1-bab2ef8065e7.jpg?v=1732117822&width=600,,
J1148,TRUE,Étoile,14K Yellow Gold Plain Fan Single Earring,Earrings,,,,14K,Yellow,,380,250,950,Single Earring,https://dianarafael.com/products/etoile-statement-14k-yellow-gold-single-earrings,https://dianarafael.com/cdn/shop/files/732dfa22-5297-5100-8cd1-f569297cd8b7.jpg?v=1732118689&width=600,https://dianarafael.com/cdn/shop/files/ea2f6363-6268-53e8-8f19-83caa69339a9.jpg?v=1719302789&width=600,
J1205,TRUE,Dazzle,0.5ct Radiant Clarity Enhanced Diamond Ring,Ring,0.5,Radiant,Natural Diamond,18K,White,6 (52),1715,1150,4500,,https://dianarafael.com/products/1-carats-diamond-engagement-ring-7,https://dianarafael.com/cdn/shop/products/c56e2eef-bd2e-5e81-b58c-6bd61e57b69e_3cbc8582-76a9-4f73-85be-6e6e4a7be2e9.jpg?v=1680451628&width=700,,
J1332,TRUE,Duìqí,14K Rose Gold Spicey Black Diamond Ring,Ring,0.17,ROUnd,Natural Diamond,14K,Rose,7.5 (56),800,450,1750,,https://dianarafael.com/cdn/shop/files/J1332-1.png?v=1784188141&width=600,https://dianarafael.com/cdn/shop/files/J1332-2.png?v=1784188141&width=600,,
J1334,TRUE,Darkling,Cluster Natural Black Diamond Round Engagement Ring,Ring,0.7,Round,Natural Diamond,14K,Rose,5.75 (51.5),1572,850,3300,Sizeable to only 6 US! ,https://dianarafael.com/products/darkling-channel-wedding-ring-with-round-cut-natural-black-diamonds,https://dianarafael.com/cdn/shop/products/94d826dc-f152-595e-bd3e-533ebe52ef40.jpg?v=1670172090&width=600,,
J1335,TRUE,Moonlit Abyss,Channel Natural Black Diamond Wedding Ring,Ring,0.7,Round,Natural Diamond,18K,Yellow,5.75 (51.5),1282,950,3700,,https://dianarafael.com/products/moonlit-abyss-channel-natural-black-diamond-wedding-ring-1,https://dianarafael.com/cdn/shop/files/J1335-1.png?v=1784188384&width=600,,
J1411,TRUE,NAMA,2.48 Carats Natural Round Diamond Wedding Band,Ring,2.48,Round,Natural Diamond,14K,White,6 (52),2880,1500,5850,Not Resizeable!,https://dianarafael.com/products/kitana-2-2-carats-natural-black-diamond-emerald-cut-engagement-ring,https://dianarafael.com/cdn/shop/files/J1411-1.png?v=1784188373&width=600,,
